,0,1,2,3,4,5,6
0,0.736,0.795,0.498,0.508,230813.0,0.028,2256.0
1,0.607,0.649,0.0306,0.47,247627.0,0.0983606557377,1268.0
2,0.584,0.54,0.0895,0.19,220883.0,0.0958904109589,1449.0
3,0.672,0.642,0.127,0.659,202194.0,0.161764705882,644.0
4,0.772,0.775,0.0417,0.742,203782.0,0.0732984293194,1751.0
5,0.624,0.876,0.0735,0.767,170827.0,0.0652173913043,1521.0
6,0.457,0.627,0.238,0.535,210091.0,0.0,102.0
7,0.7,0.714,0.122,0.482,234308.0,0.0196078431373,464.0
8,0.704,0.423,0.416,0.45,176347.0,0.0921985815603,1185.0
9,0.696,0.817,0.075,0.779,216409.0,0.0309278350515,1643.0
10,0.627,0.812,0.198,0.497,220293.0,0.00526315789474,1668.0
11,0.597,0.733,0.0151,0.242,234662.0,0.0867768595041,1890.0
12,0.648,0.532,0.0905,0.497,220781.0,0.0372670807453,1470.0
13,0.853,0.56,0.013,0.853,206693.0,0.047619047619,995.0
14,0.731,0.469,0.463,0.618,165387.0,0.0363636363636,465.0
15,0.374,0.784,0.00053,0.326,230972.0,0.0526315789474,1680.0
16,0.622,0.571,0.0458,0.613,225013.0,0.0490196078431,1020.0
17,0.736,0.449,0.33,0.322,219080.0,0.04,719.0
18,0.646,0.644,0.0243,0.26,221520.0,0.0240963855422,1771.0
19,0.703,0.868,0.15,0.732,193613.0,0.0,0.0
20,0.803,0.743,0.105,0.68,203180.0,0.0314960629921,1139.0
21,0.769,0.631,0.0913,0.501,203992.0,0.0,82.0
22,0.833,0.434,0.0102,0.286,204600.0,0.0196078431373,1761.0
23,0.737,0.729,0.127,0.431,212564.0,0.0,0.0
24,0.748,0.627,0.131,0.513,188491.0,0.178947368421,1422.0
25,0.661,0.651,0.117,0.364,202915.0,0.04,1115.0
26,0.67,0.838,0.0604,0.687,222041.0,0.0,0.0
27,0.451,0.809,0.073,0.468,237915.0,0.0272373540856,2373.0
28,0.904,0.611,0.00026,0.427,177000.0,0.0588235294118,2963.0
29,0.767,0.819,0.44,0.587,269187.0,0.254826254826,2397.0
30,0.783,0.467,0.729,0.236,237793.0,0.0,0.0
31,0.599,0.667,0.0533,0.811,288877.0,0.0754716981132,456.0
32,0.584,0.569,0.0508,0.508,217603.0,0.0250896057348,1813.0
33,0.623,0.656,0.0561,0.371,220291.0,0.0740740740741,295.0
34,0.746,0.846,0.0485,0.418,174933.0,0.129032258065,296.0
35,0.707,0.629,0.259,0.444,212459.0,0.117647058824,421.0
36,0.38,0.553,0.421,0.381,189333.0,0.0666666666667,444.0
37,0.63,0.815,0.222,0.814,228827.0,0.0,0.0
38,0.657,0.703,0.222,0.344,214693.0,0.0493827160494,783.0
39,0.315,0.563,0.173,0.151,175517.0,0.0,0.0
40,0.606,0.889,0.0481,0.313,191800.0,0.0857142857143,353.0
41,0.741,0.559,0.00728,0.441,221983.0,0.0689655172414,197.0
42,0.617,0.642,0.13,0.236,194013.0,0.0555555555556,158.0
43,0.804,0.459,0.304,0.372,298941.0,0.0144927536232,1215.0
44,0.744,0.634,0.19,0.33,184840.0,0.0,0.0
45,0.415,0.369,0.0303,0.0951,251423.0,0.0793650793651,521.0
46,0.825,0.652,0.581,0.933,233713.0,0.0970873786408,1865.0
47,0.518,0.575,0.0259,0.208,340707.0,0.0,1561.0
48,0.718,0.713,0.0262,0.115,216467.0,0.0419161676647,1901.0
49,0.607,0.718,0.032,0.521,213307.0,0.0769230769231,149.0
