,0
0,abandon
1,abandoned
2,abandonment
3,abduction
4,abortion
5,abortive
6,abscess
7,absence
8,absent
9,absentee
10,abuse
11,abysmal
12,abyss
13,accident
14,accursed
15,ache
16,aching
17,adder
18,adrift
19,adultery
20,adverse
21,adversity
22,afflict
23,affliction
24,affront
25,aftermath
26,aggravating
27,agony
28,ail
29,ailing
30,alcoholism
31,alienated
32,alienation
33,anathema
34,anchorage
35,anguish
36,animosity
37,annihilated
38,annihilation
39,annulment
40,anthrax
41,antisocial
42,anxiety
43,apathetic
44,apathy
45,apologize
46,appendicitis
47,arid
48,arraignment
49,arsenic
50,art
51,ashamed
52,ashes
53,assailant
54,assassin
55,assassination
56,atherosclerosis
57,atrocity
58,atrophy
59,attacking
60,attenuation
61,austere
62,autopsy
63,avalanche
64,awful
65,backwater
66,bacteria
67,bad
68,badly
69,bang
70,banish
71,banished
72,banishment
73,bankrupt
74,bankruptcy
75,banshee
76,barren
77,bastard
78,battered
79,battled
80,beating
81,beg
82,beggar
83,belittle
84,bereaved
85,bereavement
86,betray
87,betrayal
88,bier
89,bigoted
90,bitch
91,bitterly
92,bitterness
93,black
94,blackness
95,bleak
96,bleeding
97,blemish
98,blight
99,blighted
100,blindly
101,blindness
102,blockade
103,bloodshed
104,bloody
105,blue
106,blues
107,blunder
108,bomb
109,bomber
110,bondage
111,boredom
112,bothering
113,bottom
114,breakup
115,broke
116,broken
117,brute
118,bugaboo
119,bum
120,burdensome
121,burial
122,buried
123,burke
124,bury
125,cadaver
126,cage
127,calamity
128,cancel
129,cancer
130,captive
131,captivity
132,carcass
133,carcinoma
134,cardiomyopathy
135,carnage
136,case
137,casket
138,casualty
139,cataract
140,catastrophe
141,cemetery
142,chagrin
143,chaos
144,chargeable
145,choke
146,cholera
147,chronic
148,closure
149,clouded
150,cloudy
151,cocaine
152,coercion
153,coffin
154,coldness
155,collapse
156,collusion
157,coma
158,comatose
159,commemorate
160,committal
161,communism
162,complain
163,conceal
164,concerned
165,concussion
166,condemnation
167,condescension
168,condolence
169,confession
170,confine
171,confined
172,confinement
173,confiscate
174,conflict
175,consecration
176,console
177,constraint
178,contaminated
179,convict
180,corpse
181,corrupting
182,corse
183,couch
184,coward
185,crash
186,crazy
187,cremation
188,cringe
189,cripple
190,crippled
191,criticism
192,criticize
193,cross
194,crucifixion
195,cruel
196,cruelty
197,crumbling
198,crushed
199,cry
200,crying
201,crypt
202,cumbersome
203,cupping
204,curse
205,cursed
206,cutting
207,cyst
208,cytomegalovirus
209,daemon
210,damage
211,damages
212,damnation
213,danger
214,dark
215,darken
216,darkened
217,darkness
218,dashed
219,deadly
220,death
221,debacle
222,debt
223,decay
224,decayed
225,deceased
226,deceit
227,deceitful
228,deceive
229,decomposed
230,decomposition
231,default
232,defeated
233,defendant
234,defenseless
235,deflate
236,deformed
237,deformity
238,defunct
239,defy
240,degeneracy
241,degrading
242,delay
243,delirious
244,delirium
245,deluge
246,delusion
247,dementia
248,demise
249,demolish
250,demon
251,demonic
252,demonstrative
253,demoralized
254,denied
255,depart
256,departed
257,departure
258,dependence
259,deplorable
260,deplore
261,deport
262,deportation
263,depraved
264,depreciated
265,depress
